"cname","year","ht_region","hf_govint","icrg_qog"
"Gabon",2000,4,"50",0.3888889
"Gabon",2001,4,"50",0.3888889
"Gabon",2002,4,"50",0.3888889
"Gabon",2003,4,"50",0.3888889
"Gabon",2004,4,"30",0.33333334
"Gabon",2005,4,"30",0.30555555
"Gabon",2006,4,"33",0.30555555
"Gabon",2007,4,"29",0.30555555
"Gabon",2008,4,"30",0.35648149
"Gabon",2009,4,"33",0.36458334
"Gabon",2010,4,"31",0.4236111
"Gambia",1999,4,"10",0.6111111
"Gambia",2000,4,"10",0.6111111
"Gambia",2001,4,"10",0.6111111
"Gambia",2002,4,"10",0.58796299
"Gambia",2003,4,"10",0.55555558
"Gambia",2004,4,"10",0.5486111
"Gambia",2005,4,"25",0.52777779
"Gambia",2006,4,"28",0.5162037
"Gambia",2007,4,"27",0.50231481
"Gambia",2008,4,"25",0.52083331
"Gambia",2009,4,"23",0.5
"Gambia",2010,4,"19",0.5
"Ghana",1999,4,"50",0.43055555
"Ghana",2000,4,"33",0.3888889
"Ghana",2001,4,"33",0.43981481
"Ghana",2002,4,"35",0.41666666
"Ghana",2003,4,"34",0.41666666
"Ghana",2004,4,"39",0.41666666
"Ghana",2005,4,"33",0.39583334
"Ghana",2006,4,"36",0.41666666
"Ghana",2007,4,"40",0.43055555
"Ghana",2008,4,"33",0.43055555
"Ghana",2009,4,"37",0.43055555
"Ghana",2010,4,"39",0.47222221
"Guinea",1999,4,"30",0.5
"Guinea",2000,4,"30",0.5
"Guinea",2001,4,"30",0.5
"Guinea",2002,4,"25",0.47453704
"Guinea",2003,4,"25",0.47222221
"Guinea",2004,4,"25",0.44675925
"Guinea",2005,4,"25",0.44444445
"Guinea",2006,4,"25",0.44444445
"Guinea",2007,4,"30",0.41666666
"Guinea",2008,4,"19",0.41666666
"Guinea",2009,4,"19",0.41666666
"Guinea",2010,4,"16",0.39583334
"Iran",1999,3,"10",0.66666669
"Iran",2000,3,"10",0.66666669
"Iran",2001,3,"10",0.57175922
"Iran",2002,3,"10",0.5
"Iran",2003,3,"10",0.5
"Iran",2004,3,"10",0.5
"Iran",2005,3,"30",0.5
"Iran",2006,3,"29",0.5
"Iran",2007,3,"29",0.5
"Iran",2008,3,"27",0.5
"Iran",2009,3,"25",0.5
"Iran",2010,3,"23",0.47685185
"Iraq",1999,3,"10",0.16666667
"Iraq",2000,3,"10",0.16666667
"Iraq",2001,3,"10",0.16666667
"Iraq",2002,3,"10",0.16666667
"Iraq",2003,3,"",0.24537037
"Iraq",2004,3,"",0.15972222
"Iraq",2005,3,"",0.1388889
"Iraq",2006,3,"",0.1388889
"Iraq",2007,3,"",0.1388889
"Iraq",2008,3,"",0.24652778
"Iraq",2009,3,"",0.2800926
"Iraq",2010,3,"",0.29166666
"Israel",1999,3,"80",0.77777779
"Israel",2000,3,"71",0.77777779
"Israel",2001,3,"68",0.77777779
"Israel",2002,3,"66",0.77777779
"Israel",2003,3,"76",0.81018519
"Israel",2004,3,"73",0.78703701
"Israel",2005,3,"70",0.77777779
"Israel",2006,3,"64",0.77777779
"Israel",2007,3,"63",0.77777779
"Israel",2008,3,"59",0.77777779
"Israel",2009,3,"61",0.77777779
"Israel",2010,3,"60",0.80092591
"Cote d'Ivoire",1999,4,"30",0.44444445
"Cote d'Ivoire",2000,4,"31",0.2962963
"Cote d'Ivoire",2001,4,"26",0.32407406
"Cote d'Ivoire",2002,4,"27",0.30555555
"Cote d'Ivoire",2003,4,"24",0.30555555
"Cote d'Ivoire",2004,4,"27",0.27777776
"Cote d'Ivoire",2005,4,"21",0.22222222
"Cote d'Ivoire",2006,4,"20",0.22222222
"Cote d'Ivoire",2007,4,"19",0.22453703
"Cote d'Ivoire",2008,4,"21",0.27314815
"Cote d'Ivoire",2009,4,"21",0.27777776
"Cote d'Ivoire",2010,4,"20",0.25694445
"Jordan",1999,3,"49",0.56481481
"Jordan",2000,3,"47",0.55555558
"Jordan",2001,3,"44",0.55555558
"Jordan",2002,3,"46",0.55555558
"Jordan",2003,3,"49",0.55555558
"Jordan",2004,3,"45",0.55555558
"Jordan",2005,3,"46",0.55555558
"Jordan",2006,3,"53",0.55555558
"Jordan",2007,3,"57",0.55555558
"Jordan",2008,3,"53",0.55555558
"Jordan",2009,3,"47",0.55555558
"Jordan",2010,3,"51",0.55555558
"Kenya",1999,4,"22",0.3888889
"Kenya",2000,4,"25",0.3888889
"Kenya",2001,4,"20",0.3888889
"Kenya",2002,4,"21",0.375
"Kenya",2003,4,"20",0.4675926
"Kenya",2004,4,"19",0.41666666
"Kenya",2005,4,"19",0.34953704
"Kenya",2006,4,"21",0.33333334
"Kenya",2007,4,"21",0.31712964
"Kenya",2008,4,"22",0.30555555
"Kenya",2009,4,"21",0.31944445
"Kenya",2010,4,"21",0.36805555
"Kuwait",1999,3,"70",0.6111111
"Kuwait",2000,3,"70",0.55555558
"Kuwait",2001,3,"70",0.55555558
"Kuwait",2002,3,"70",0.55555558
"Kuwait",2003,3,"70",0.55555558
"Kuwait",2004,3,"70",0.55555558
"Kuwait",2005,3,"53",0.58333331
