,pais,country,regiao,anos,inicio_projeto,anos_contagem,regiao_proj_noano,regiao_proj_acumulados,instituicoes_internacionais_proj_noano,instituicoes_internacionais_proj_acumulados,distancia_2palop,paises_2palop,semelhanca_quali_institucional_icrg,semelhanca_quali_institucional_govint,instituicoes_com_palop
78,Mali,Mali,África Ocidental,2005,1,6.0,20.0,35.0,55.0,97.0,2534.514013458259,Guinea-Bissau;Cape Verde,1,0,3
79,Togo,Togo,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,1,1,3
80,Togo,Togo,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,1,1,3
81,Togo,Togo,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,1,1,3
82,Togo,Togo,África Ocidental,2002,0,3.0,3.0,3.0,8.0,8.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,1,1,3
83,Togo,Togo,África Ocidental,2003,0,4.0,5.0,8.0,14.0,22.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,1,1,3
84,Togo,Togo,África Ocidental,2004,0,5.0,7.0,15.0,20.0,42.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,1,1,3
85,Togo,Togo,África Ocidental,2005,0,6.0,20.0,35.0,54.0,96.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,1,1,3
86,Togo,Togo,África Ocidental,2006,0,7.0,26.0,61.0,89.0,185.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,1,1,3
87,Togo,Togo,África Ocidental,2007,0,8.0,39.0,100.0,137.0,322.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,0,0,3
88,Togo,Togo,África Ocidental,2008,0,9.0,50.0,150.0,166.0,488.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,0,1,3
89,Togo,Togo,África Ocidental,2009,1,10.0,50.0,200.0,157.0,645.0,1757.6000508814436,Equatorial Guinea;Sao Tome and Principe,0,0,3
90,Botsuana,Botswana,África do Sul,1999,0,0.0,0.0,0.0,0.0,0.0,2900.381410044008,Mozambique;Angola,0,0,2
91,Botsuana,Botswana,África do Sul,2000,0,1.0,0.0,0.0,0.0,0.0,2900.381410044008,Mozambique;Angola,0,0,2
92,Botsuana,Botswana,África do Sul,2001,0,2.0,0.0,0.0,0.0,0.0,2900.381410044008,Mozambique;Angola,0,0,2
93,Botsuana,Botswana,África do Sul,2002,0,3.0,0.0,0.0,7.0,7.0,2900.381410044008,Mozambique;Angola,0,0,2
94,Botsuana,Botswana,África do Sul,2003,0,4.0,0.0,0.0,11.0,18.0,2900.381410044008,Mozambique;Angola,0,0,2
95,Botsuana,Botswana,África do Sul,2004,0,5.0,0.0,0.0,14.0,32.0,2900.381410044008,Mozambique;Angola,0,0,2
96,Botsuana,Botswana,África do Sul,2005,0,6.0,1.0,1.0,47.0,79.0,2900.381410044008,Mozambique;Angola,0,0,2
97,Botsuana,Botswana,África do Sul,2006,0,7.0,5.0,6.0,75.0,154.0,2900.381410044008,Mozambique;Angola,0,0,2
98,Botsuana,Botswana,África do Sul,2007,1,8.0,2.0,8.0,112.0,266.0,2900.381410044008,Mozambique;Angola,0,0,2
99,Gana,Ghana,África Ocidental,1999,0,0.0,0.0,0.0,0.0,0.0,1998.0500927567077,Sao Tome and Principe;Equatorial Guinea,0,0,3
100,Gana,Ghana,África Ocidental,2000,0,1.0,0.0,0.0,0.0,0.0,1998.0500927567077,Sao Tome and Principe;Equatorial Guinea,0,0,3
101,Gana,Ghana,África Ocidental,2001,0,2.0,0.0,0.0,0.0,0.0,1998.0500927567077,Sao Tome and Principe;Equatorial Guinea,0,0,3
102,Gana,Ghana,África Ocidental,2002,0,3.0,3.0,3.0,8.0,8.0,1998.0500927567077,Sao Tome and Principe;Equatorial Guinea,0,0,3
103,Gana,Ghana,África Ocidental,2003,0,4.0,5.0,8.0,14.0,22.0,1998.0500927567077,Sao Tome and Principe;Equatorial Guinea,0,0,3
104,Gana,Ghana,África Ocidental,2004,1,5.0,7.0,15.0,20.0,42.0,1998.0500927567077,Sao Tome and Principe;Equatorial Guinea,0,0,3
105,Quênia,Kenya,África Oriental,1999,0,0.0,0.0,0.0,0.0,0.0,5512.1819763992835,Angola;Mozambique,0,1,1
106,Quênia,Kenya,África Oriental,2000,0,1.0,0.0,0.0,0.0,0.0,5512.1819763992835,Angola;Mozambique,0,0,1
107,Quênia,Kenya,África Oriental,2001,0,2.0,0.0,0.0,0.0,0.0,5512.1819763992835,Angola;Mozambique,0,1,1
108,Quênia,Kenya,África Oriental,2002,0,3.0,1.0,1.0,5.0,5.0,5512.1819763992835,Angola;Mozambique,1,1,1
109,Quênia,Kenya,África Oriental,2003,0,4.0,1.0,2.0,8.0,13.0,5512.1819763992835,Angola;Mozambique,0,1,1
110,Quênia,Kenya,África Oriental,2004,0,5.0,2.0,4.0,11.0,24.0,5512.1819763992835,Angola;Mozambique,0,1,1
111,Quênia,Kenya,África Oriental,2005,0,6.0,6.0,10.0,35.0,59.0,5512.1819763992835,Angola;Mozambique,1,1,1
112,Quênia,Kenya,África Oriental,2006,1,7.0,12.0,22.0,60.0,119.0,5512.1819763992835,Angola;Mozambique,1,1,1
113,Tanzânia,"Tanzania, United Rep. of ",África Oriental,1999,0,0.0,0.0,0.0,0.0,0.0,4715.631117895931,Mozambique;Angola,0,0,2
114,Tanzânia,"Tanzania, United Rep. of ",África Oriental,2000,0,1.0,0.0,0.0,0.0,0.0,4715.631117895931,Mozambique;Angola,0,1,2
115,Tanzânia,"Tanzania, United Rep. of ",África Oriental,2001,0,2.0,0.0,0.0,0.0,0.0,4715.631117895931,Mozambique;Angola,0,1,2
116,Tanzânia,"Tanzania, United Rep. of ",África Oriental,2002,0,3.0,1.0,1.0,7.0,7.0,4715.631117895931,Mozambique;Angola,0,0,2
117,Tanzânia,"Tanzania, United Rep. of ",África Oriental,2003,0,4.0,1.0,2.0,11.0,18.0,4715.631117895931,Mozambique;Angola,0,1,2
118,Tanzânia,"Tanzania, United Rep. of ",África Oriental,2004,0,5.0,2.0,4.0,14.0,32.0,4715.631117895931,Mozambique;Angola,0,0,2
119,Tanzânia,"Tanzania, United Rep. of ",África Oriental,2005,0,6.0,6.0,10.0,46.0,78.0,4715.631117895931,Mozambique;Angola,0,0,2
120,Tanzânia,"Tanzania, United Rep. of ",África Oriental,2006,0,7.0,12.0,22.0,74.0,152.0,4715.631117895931,Mozambique;Angola,0,0,2
121,Tanzânia,"Tanzania, United Rep. of ",África Oriental,2007,0,8.0,15.0,37.0,115.0,267.0,4715.631117895931,Mozambique;Angola,0,0,2
122,Tanzânia,"Tanzania, United Rep. of ",África Oriental,2008,0,9.0,28.0,65.0,148.0,415.0,4715.631117895931,Mozambique;Angola,0,1,2
123,Tanzânia,"Tanzania, United Rep. of ",África Oriental,2009,1,10.0,25.0,90.0,143.0,558.0,4715.631117895931,Mozambique;Angola,0,1,2
124,Zâmbia,Zambia,África Oriental,1999,0,0.0,0.0,0.0,0.0,0.0,3036.5953539449647,Mozambique;Angola,0,0,2
125,Zâmbia,Zambia,África Oriental,2000,0,1.0,0.0,0.0,0.0,0.0,3036.5953539449647,Mozambique;Angola,0,0,2
126,Zâmbia,Zambia,África Oriental,2001,0,2.0,0.0,0.0,0.0,0.0,3036.5953539449647,Mozambique;Angola,0,0,2
127,Zâmbia,Zambia,África Oriental,2002,0,3.0,1.0,1.0,7.0,7.0,3036.5953539449647,Mozambique;Angola,0,0,2
128,Zâmbia,Zambia,África Oriental,2003,0,4.0,1.0,2.0,11.0,18.0,3036.5953539449647,Mozambique;Angola,0,0,2
129,Zâmbia,Zambia,África Oriental,2004,0,5.0,2.0,4.0,14.0,32.0,3036.5953539449647,Mozambique;Angola,0,0,2
130,Zâmbia,Zambia,África Oriental,2005,1,6.0,6.0,10.0,48.0,80.0,3036.5953539449647,Mozambique;Angola,0,0,2
131,República Democrática do Congo,Congo (Democratic Republic of the),África Central,1999,0,0.0,0.0,0.0,0.0,0.0,1626.7319838546903,Angola;Sao Tome and Principe,0,1,2
132,República Democrática do Congo,Congo (Democratic Republic of the),África Central,2000,0,1.0,0.0,0.0,0.0,0.0,1626.7319838546903,Angola;Sao Tome and Principe,0,1,2
